ensemble,seed,i,j,r_angstrom,is_edge_sharing,is_corner_sharing,f_OO_local,t_eV,kept_t_gt_tmin
G_good,2903000,26,31,3.187265,0,1,0.0,1.35024,1
G_good,2903000,26,34,3.98376,1,0,0.0,0.374998,1
G_good,2903000,26,55,3.736197,1,0,0.0,0.588181,1
G_good,2903000,28,37,2.989026,0,1,0.00084,1.932931,1
G_good,2903000,29,34,3.908099,1,0,0.000412,0.429947,1
G_good,2903000,30,40,3.413591,0,1,0.002688,0.889945,1
G_good,2903000,30,46,3.433949,1,0,0.0,1.018998,1
G_good,2903000,32,39,3.501546,1,0,0.0,0.90115,1
G_good,2903000,32,53,3.039158,1,0,0.0,2.08887,1
G_good,2903000,33,36,4.017364,0,1,0.002687,0.296899,0
G_good,2903000,33,37,2.995315,0,1,0.003795,1.899696,1
G_good,2903000,34,55,3.438415,1,0,0.000717,1.00931,1
G_good,2903000,35,44,4.072309,1,0,0.0,0.319233,0
G_good,2903000,35,54,4.162808,1,0,0.0,0.270799,0
G_good,2903000,36,49,4.10484,1,0,0.000358,0.300683,0
G_good,2903000,36,61,3.934264,0,1,0.0,0.347185,0
G_good,2903000,36,62,3.304557,0,1,0.000422,1.090002,1
G_good,2903000,37,54,3.549264,0,1,0.002053,0.69628,1
G_good,2903000,38,58,3.94043,0,1,0.001824,0.342064,0
G_good,2903000,39,41,3.961309,0,1,0.001708,0.329398,0
G_good,2903000,39,47,3.53478,0,1,0.0,0.717802,1
G_good,2903000,39,53,3.292425,1,0,0.0,1.318029,1
G_good,2903000,39,56,3.983201,1,0,0.0,0.375379,1
G_good,2903000,41,56,3.585565,0,1,0.003507,0.649916,1
G_good,2903000,41,60,3.653913,0,1,0.001753,0.575984,1
G_good,2903000,43,50,4.095447,1,0,0.001284,0.305297,0
G_good,2903000,45,55,3.33817,0,1,0.000503,1.025217,1
G_good,2903000,47,53,3.963693,0,1,0.003117,0.327052,0
G_good,2903000,47,63,3.165206,1,0,0.0,1.661039,1
G_good,2903000,51,52,3.988903,0,1,0.0,0.314352,0
G_good,2903000,51,56,3.77682,0,1,0.0,0.462257,1
G_good,2903000,59,61,3.06019,0,1,0.003379,1.689735,1
G_good,2903000,61,62,3.657739,0,1,0.001733,0.572015,1
G_good,2903001,0,14,3.812203,0,1,0.000689,0.432858,1
G_good,2903001,0,27,3.191279,0,1,0.002111,1.334775,1
G_good,2903001,1,23,3.304882,0,1,0.0,1.090279,1
G_good,2903001,1,40,4.195908,0,1,0.0,0.215755,0
G_good,2903001,1,50,4.004695,0,1,0.001624,0.304464,0
G_good,2903001,2,9,3.543387,1,0,0.001373,0.832849,1
G_good,2903001,2,17,4.040364,1,0,0.001401,0.337377,0
G_good,2903001,2,51,2.969998,0,1,0.0,2.004336,1
G_good,2903001,2,58,3.507099,0,1,0.0,0.754853,1
G_good,2903001,3,18,3.911142,1,0,0.00014,0.427806,1
G_good,2903001,3,34,4.114028,1,0,0.00083,0.295423,0
G_good,2903001,3,42,3.078773,0,1,0.001167,1.640839,1
G_good,2903001,3,55,3.846583,0,1,0.001545,0.405933,1
G_good,2903001,4,52,3.606777,1,0,0.0,0.744225,1
G_good,2903001,5,7,3.646479,0,1,0.002813,0.582587,1
G_good,2903001,5,38,3.544174,0,1,0.001015,0.704214,1
G_good,2903001,5,42,3.723224,0,1,0.0,0.50957,1
G_good,2903001,5,61,3.437954,0,1,0.0,0.855974,1
G_good,2903001,5,63,2.953414,1,0,0.001296,2.434957,1
G_good,2903001,6,8,3.707796,1,0,0.000268,0.619019,1
G_good,2903001,6,31,3.655131,0,1,0.001562,0.57493,1
G_good,2903001,6,37,3.199723,0,1,0.0,1.32,1
G_good,2903001,7,29,3.188756,0,1,0.0,1.346585,1
G_good,2903001,7,38,4.198934,0,1,0.00326,0.213176,0
G_good,2903001,7,57,3.016055,0,1,0.000471,1.841594,1
G_good,2903001,8,37,3.657322,0,1,0.0,0.574436,1
G_good,2903001,8,61,3.273123,0,1,0.001776,1.150994,1
G_good,2903001,9,10,4.133386,0,1,0.0,0.241729,0
G_good,2903001,9,36,4.154907,0,1,0.0,0.232453,0
G_good,2903001,9,51,3.380041,0,1,0.0,0.951021,1
G_good,2903001,9,53,3.214098,0,1,0.0027,1.279022,1
G_good,2903001,10,23,3.563696,0,1,0.000325,0.680595,1
G_good,2903001,10,26,3.496376,0,1,0.0,0.769713,1
G_good,2903001,11,41,3.463466,0,1,0.000407,0.81651,1
G_good,2903001,12,19,3.977318,0,1,0.0,0.321044,0
G_good,2903001,12,20,3.49919,0,1,0.0,0.765785,1
G_good,2903001,12,46,3.55051,0,1,0.001697,0.6952,1
G_good,2903001,13,35,4.174074,0,1,0.0,0.224492,0
G_good,2903001,14,28,3.44374,1,0,0.0,1.00102,1
G_good,2903001,15,40,3.657977,0,1,0.0,0.573753,1
G_good,2903001,15,49,3.828433,1,0,0.000202,0.497168,1
G_good,2903001,16,22,3.166573,1,0,0.003392,1.645717,1
G_good,2903001,16,52,3.357377,1,0,0.002941,1.164347,1
G_good,2903001,17,48,3.230673,0,1,0.0,1.247771,1
G_good,2903001,17,58,3.928566,0,1,6e-06,0.350796,1
G_good,2903001,18,39,3.972963,0,1,0.0,0.323596,0
G_good,2903001,18,42,3.670571,0,1,0.001863,0.558678,1
G_good,2903001,18,57,4.15143,0,1,0.000259,0.233806,0
G_good,2903001,19,20,3.02077,1,0,0.0,2.159886,1
G_good,2903001,19,41,3.85872,1,0,0.001588,0.469228,1
G_good,2903001,19,58,2.932526,1,0,0.00256,2.522823,1
G_good,2903001,20,29,3.780736,0,1,0.003302,0.455956,1
G_good,2903001,20,58,2.881028,0,1,0.003036,2.342003,1
G_good,2903001,21,40,3.644742,0,1,0.000788,0.586801,1
G_good,2903001,21,52,3.766566,0,1,0.00125,0.469779,1
G_good,2903001,22,52,3.480215,1,0,0.001642,0.933716,1
G_good,2903001,22,61,3.51264,0,1,0.0,0.747286,1
G_good,2903001,23,26,4.193631,1,0,1.6e-05,0.256032,0
G_good,2903001,23,60,4.075911,0,1,0.000392,0.268147,0
G_good,2903001,24,43,3.372319,1,0,0.0,1.139826,1
G_good,2903001,24,45,3.764932,0,1,0.0,0.472356,1
G_good,2903001,24,47,3.542172,0,1,0.0,0.708219,1
G_good,2903001,25,50,4.060264,1,0,0.0,0.326301,0
G_good,2903001,25,51,3.789497,1,0,0.004323,0.529259,1
G_good,2903001,26,38,3.398962,0,1,0.0,0.918861,1
G_good,2903001,27,54,3.179072,1,0,7.6e-05,1.61944,1
G_good,2903001,28,47,3.097668,1,0,0.0,1.878063,1
G_good,2903001,30,53,3.690044,0,1,0.0,0.541257,1
G_good,2903001,32,49,2.964319,0,1,0.00337,2.011535,1
G_good,2903001,32,63,3.378097,1,0,0.0,1.127914,1
G_good,2903001,33,60,3.444997,0,1,0.0,0.845083,1
G_good,2903001,34,42,3.564296,0,1,0.000687,0.679362,1
G_good,2903001,34,63,3.903937,0,1,0.000904,0.366204,1
G_good,2903001,36,46,3.485141,1,0,0.001926,0.924866,1
G_good,2903001,36,53,4.114582,0,1,0.0,0.250137,0
G_good,2903001,39,52,3.485098,1,0,0.000693,0.927221,1
G_good,2903001,39,54,3.814807,1,0,0.002788,0.50701,1
G_good,2903001,41,47,3.784964,0,1,0.0,0.455462,1
G_good,2903001,42,63,3.344795,1,0,0.000758,1.196501,1
G_good,2903001,43,47,3.804621,0,1,0.0,0.439471,1
G_good,2903001,43,59,2.887415,0,1,0.0,2.329061,1
G_good,2903001,46,53,3.019426,0,1,0.003545,1.819122,1
G_good,2903001,47,59,4.124025,0,1,0.0,0.245879,0
G_good,2903001,48,57,3.094798,0,1,0.003178,1.587322,1
G_good,2903001,48,59,3.910267,1,0,0.000452,0.428221,1
G_good,2903001,52,54,3.751811,0,1,0.0,0.483761,1
G_good,2903001,55,60,3.209257,0,1,0.0,1.297316,1
G_good,2903001,61,63,3.549192,0,1,0.00409,0.693541,1
G_good,2903002,0,20,4.024978,0,1,0.0,0.294395,0
G_good,2903002,1,41,3.506811,0,1,0.0,0.755247,1
G_good,2903002,1,50,3.776225,1,0,0.003157,0.543453,1
G_good,2903002,2,40,3.470005,1,0,0.000732,0.952944,1
G_good,2903002,2,48,3.719931,1,0,0.001329,0.604227,1
G_good,2903002,2,60,3.447547,0,1,0.002836,0.836416,1
G_good,2903002,3,35,3.611509,0,1,0.004133,0.619195,1
G_good,2903002,5,27,3.577205,0,1,0.000351,0.664048,1
G_good,2903002,5,52,3.781014,1,0,0.000909,0.541169,1
G_good,2903002,5,59,3.358903,1,0,0.000914,1.165838,1
G_good,2903002,6,12,3.880427,1,0,0.0,0.452504,1
G_good,2903002,6,42,2.860267,0,1,0.0,2.446908,1
G_good,2903002,7,26,3.554905,1,0,0.001097,0.816038,1
G_good,2903002,7,32,3.880255,1,0,0.0,0.452646,1
G_good,2903002,7,48,4.074675,0,1,0.0,0.268961,0
G_good,2903002,7,56,3.759437,0,1,0.0002,0.476908,1
G_good,2903002,8,20,2.915033,1,0,0.000269,2.616314,1
G_good,2903002,9,19,2.957799,0,1,0.0,2.049291,1
G_good,2903002,9,37,3.725389,1,0,0.001671,0.597851,1
G_good,2903002,9,46,3.563852,0,1,0.0,0.680845,1
G_good,2903002,10,33,3.88371,0,1,0.0,0.38061,1
G_good,2903002,10,43,4.037217,0,1,0.000855,0.287425,0
G_good,2903002,10,48,3.826229,0,1,0.001238,0.421496,1
G_good,2903002,10,62,3.074543,1,0,0.0,1.958709,1
G_good,2903002,11,29,3.432091,1,0,0.0,1.022448,1
G_good,2903002,11,42,4.196503,0,1,0.0,0.215521,0
G_good,2903002,11,63,3.119013,0,1,0.001453,1.524204,1
G_good,2903002,12,58,3.500878,1,0,0.0,0.902245,1
G_good,2903002,13,51,3.827477,1,0,0.0,0.498234,1
G_good,2903002,14,49,4.118307,1,0,0.000478,0.29334,0
G_good,2903002,14,61,3.93816,1,0,0.0,0.407413,1
G_good,2903002,15,18,3.484782,0,1,0.001982,0.783001,1
G_good,2903002,15,25,3.248478,0,1,0.002276,1.202539,1
G_good,2903002,15,43,3.880502,0,1,0.000361,0.38256,1
G_good,2903002,15,49,3.672738,0,1,0.001061,0.557375,1
G_good,2903002,15,52,4.068757,0,1,0.0,0.271871,0
G_good,2903002,16,49,3.176045,0,1,0.0,1.378068,1
G_good,2903002,17,52,3.241955,1,0,0.002025,1.438859,1
G_good,2903002,18,25,3.240379,0,1,0.0,1.225945,1
G_good,2903002,18,38,4.177569,0,1,0.002216,0.222084,0
G_good,2903002,18,49,3.52802,0,1,0.0,0.726678,1
G_good,2903002,18,52,3.222404,0,1,0.0,1.266674,1
G_good,2903002,19,46,2.921618,0,1,0.003201,2.174663,1
G_good,2903002,19,57,3.748139,1,0,0.001716,0.573575,1
G_good,2903002,21,55,3.856311,1,0,0.0,0.472787,1
G_good,2903002,22,38,3.968087,1,0,0.000757,0.385254,1
G_good,2903002,24,45,4.17223,1,0,0.002019,0.265127,0
G_good,2903002,24,46,3.600183,1,0,0.000172,0.752941,1
G_good,2903002,25,52,3.086903,0,1,0.0,1.62054,1
G_good,2903002,26,61,3.210838,1,0,0.0,1.528789,1
G_good,2903002,28,42,3.741374,0,1,0.0,0.493029,1
G_good,2903002,28,48,3.951774,1,0,0.000498,0.397057,1
G_good,2903002,28,62,2.905684,0,1,0.0,2.252969,1
G_good,2903002,29,39,3.202135,1,0,0.0,1.553174,1
G_good,2903002,31,41,3.788928,1,0,0.0,0.534408,1
G_good,2903002,32,48,3.625435,1,0,0.0,0.719401,1
G_good,2903002,32,56,3.762535,0,1,0.0,0.47442,1
G_good,2903002,33,40,3.536853,0,1,0.0,0.715101,1
G_good,2903002,34,57,3.224197,0,1,0.0,1.262551,1
G_good,2903002,34,58,2.91689,1,0,0.0,2.608896,1
G_good,2903002,36,51,3.697318,0,1,0.000294,0.533832,1
G_good,2903002,37,46,3.14776,0,1,0.000111,1.450471,1
G_good,2903002,39,54,3.987078,1,0,0.003825,0.369901,1
G_good,2903002,41,53,3.187727,0,1,0.002713,1.341805,1
G_good,2903002,41,58,3.114454,0,1,0.0,1.541362,1
G_good,2903002,42,62,4.086101,0,1,0.0,0.263431,0
G_good,2903002,43,46,3.630899,0,1,0.003328,0.598709,1
G_good,2903002,43,49,3.221402,0,1,0.0,1.268983,1
G_good,2903002,44,50,3.569294,0,1,0.0,0.674142,1
G_good,2903002,44,59,2.965406,0,1,0.00271,2.010218,1
G_good,2903002,45,47,3.179386,0,1,0.000163,1.369277,1
G_good,2903002,45,55,3.923122,0,1,0.002517,0.352511,1
G_good,2903002,45,56,3.644778,1,0,0.003085,0.690268,1
G_good,2903002,46,57,3.149742,1,0,0.0,1.708405,1
G_good,2903002,47,55,3.426774,1,0,0.0,1.032379,1
G_good,2903002,47,56,3.631449,1,0,0.000829,0.710399,1
G_good,2903002,48,62,2.939111,0,1,0.000584,2.117642,1
G_good,2903002,51,61,3.762541,0,1,0.0,0.474415,1
G_good,2903002,53,63,3.07157,1,0,0.00164,1.962877,1
G_good,2903003,0,1,3.799205,0,1,0.0,0.44382,1
G_good,2903003,0,8,3.497381,0,1,0.001489,0.766023,1
G_good,2903003,0,60,3.583454,0,1,0.001751,0.654711,1
G_good,2903003,1,3,3.835449,0,1,0.0,0.415516,1
G_good,2903003,1,8,3.57535,0,1,0.004503,0.66078,1
G_good,2903003,1,26,3.729868,0,1,0.002037,0.501405,1
G_good,2903003,1,51,3.428485,0,1,0.0,0.870839,1
G_good,2903003,2,21,3.057621,0,1,0.001265,1.704839,1
G_good,2903003,2,39,4.120921,0,1,1e-06,0.24727,0
G_good,2903003,3,4,4.138162,1,0,0.002424,0.28184,0
G_good,2903003,3,23,4.036168,0,1,0.001238,0.287753,0
G_good,2903003,3,57,3.555438,0,1,0.0,0.691341,1
G_good,2903003,4,23,3.692289,0,1,0.002382,0.53649,1
G_good,2903003,4,24,4.115773,0,1,0.0,0.249596,0
G_good,2903003,4,43,3.865948,0,1,0.0,0.393102,1
G_good,2903003,5,47,3.747913,0,1,0.000327,0.486882,1
G_good,2903003,6,20,2.884105,1,0,0.003527,2.749676,1
G_good,2903003,6,29,3.265728,0,1,0.002112,1.165789,1
G_good,2903003,6,30,3.104707,0,1,0.002768,1.560261,1
G_good,2903003,6,58,2.893471,0,1,0.001202,2.298025,1
G_good,2903003,7,31,3.860943,1,0,0.001069,0.467821,1
G_good,2903003,7,41,2.937307,0,1,0.0,2.127084,1
G_good,2903003,7,52,3.017929,0,1,0.0,1.83706,1
G_good,2903003,8,17,3.20035,1,0,0.00098,1.555171,1
G_good,2903003,8,26,3.911996,0,1,0.00036,0.36127,1
G_good,2903003,8,55,3.978967,0,1,0.0,0.320083,0
G_good,2903003,9,15,2.891434,0,1,0.0,2.312104,1
G_good,2903003,9,19,3.613568,0,1,0.0,0.622001,1
G_good,2903003,9,42,4.105476,1,0,0.003934,0.298196,0
G_good,2903003,9,49,4.054129,0,1,0.0,0.279198,0
G_good,2903003,10,29,3.728015,0,1,0.003313,0.501814,1
G_good,2903003,10,31,3.603613,1,0,0.0,0.748518,1
G_good,2903003,10,36,2.889301,1,0,0.001878,2.732823,1
G_good,2903003,11,16,4.114423,0,1,0.0,0.250209,0
G_good,2903003,11,20,2.972792,1,0,0.0,2.356761,1
G_good,2903003,12,25,4.18079,0,1,5e-06,0.221765,0
G_good,2903003,12,32,2.861312,1,0,0.000443,2.883756,1
G_good,2903003,12,53,3.259912,1,0,0.001474,1.394178,1
G_good,2903003,12,59,4.135757,0,1,0.0,0.24069,0
G_good,2903003,13,14,3.216108,0,1,0.002836,1.274009,1
G_good,2903003,13,53,3.786468,0,1,0.001007,0.453304,1
G_good,2903003,14,34,3.767747,0,1,0.0,0.469945,1
G_good,2903003,14,40,3.430346,1,0,0.0,1.025695,1
G_good,2903003,14,53,3.725989,1,0,0.001508,0.597395,1
G_good,2903003,15,19,3.205535,0,1,0.0,1.306125,1
G_good,2903003,15,49,3.633479,0,1,0.001836,0.597686,1
G_good,2903003,16,21,3.310169,0,1,0.0,1.079848,1
G_good,2903003,17,51,3.588561,0,1,0.0,0.650934,1
G_good,2903003,17,55,2.925377,0,1,0.0,2.173727,1
G_good,2903003,17,62,3.982218,1,0,0.0,0.37605,1
G_good,2903003,18,56,3.824358,0,1,0.000603,0.423469,1
G_good,2903003,18,60,3.638398,0,1,0.0,0.594545,1
G_good,2903003,18,63,3.991316,0,1,0.000409,0.31272,0
G_good,2903003,19,32,3.957105,0,1,0.000223,0.332914,0
G_good,2903003,19,42,3.394949,1,0,0.000644,1.092469,1
G_good,2903003,19,50,3.232551,0,1,0.001691,1.23932,1
G_good,2903003,20,29,3.327525,0,1,0.000686,1.04487,1
G_good,2903003,20,30,3.325325,0,1,0.0,1.050498,1
G_good,2903003,20,58,4.134408,0,1,0.002519,0.240068,0
G_good,2903003,21,48,4.139915,1,0,0.0,0.282309,0
G_good,2903003,21,62,3.822487,1,0,0.003871,0.498898,1
G_good,2903003,21,63,3.379246,0,1,0.0004,0.951634,1
G_good,2903003,22,35,4.181023,0,1,0.0,0.221674,0
G_good,2903003,22,51,3.900746,0,1,0.002688,0.367023,1
G_good,2903003,22,63,3.310844,0,1,0.00015,1.078201,1
G_good,2903003,23,24,3.479943,1,0,0.00295,0.931737,1
G_good,2903003,23,27,3.591031,0,1,0.000714,0.647093,1
G_good,2903003,23,61,3.366919,0,1,0.0,0.973983,1
G_good,2903003,24,27,3.409436,1,0,0.002105,1.060966,1
G_good,2903003,24,55,3.652785,0,1,0.003504,0.57515,1
G_good,2903003,25,26,3.046317,0,1,0.0,1.744648,1
G_good,2903003,25,53,3.222159,0,1,0.001384,1.263735,1
G_good,2903003,25,57,4.063859,0,1,0.001513,0.273474,0
G_good,2903003,26,45,4.161615,0,1,0.000732,0.2293,0
G_good,2903003,26,51,3.038993,0,1,0.0,1.768035,1
G_good,2903003,27,61,3.282737,0,1,0.0,1.135074,1
G_good,2903003,28,43,3.684494,0,1,0.000596,0.546096,1
G_good,2903003,28,48,4.156167,0,1,0.0,0.231921,0
G_good,2903003,29,30,3.486837,0,1,0.0,0.78318,1
G_good,2903003,29,58,3.520418,1,0,0.00359,0.864525,1
G_good,2903003,30,34,3.529271,0,1,0.0,0.725027,1
G_good,2903003,30,38,4.194234,0,1,9e-06,0.216409,0
G_good,2903003,31,39,3.052834,1,0,0.0,2.037567,1
G_good,2903003,31,52,3.012138,0,1,0.00016,1.855911,1
G_good,2903003,33,34,4.158151,0,1,0.001154,0.230554,0
G_good,2903003,33,47,3.39612,0,1,0.0,0.923621,1
G_good,2903003,33,56,3.298411,1,0,0.0,1.303762,1
G_good,2903003,34,40,4.110208,1,0,0.005006,0.295008,0
G_good,2903003,34,59,3.199871,0,1,0.0,1.319646,1
G_good,2903003,36,54,4.060469,1,0,0.0,0.32618,0
G_good,2903003,37,49,3.040686,1,0,0.000288,2.081874,1
G_good,2903003,39,49,3.990992,0,1,0.0,0.31316,0
G_good,2903003,39,52,2.901593,1,0,0.0,2.682475,1
G_good,2903003,41,55,3.529015,1,0,0.000662,0.856116,1
G_good,2903003,41,62,2.896941,0,1,0.000339,2.287516,1
G_good,2903003,46,50,3.213213,1,0,0.0,1.522202,1
G_good,2903003,51,57,3.516648,1,0,0.000522,0.875827,1
G_good,2903003,55,62,3.453895,0,1,0.000378,0.830893,1
G_good,2903003,57,61,2.947291,0,1,0.002492,2.078435,1
G_good,2903004,0,16,3.501719,0,1,0.00087,0.760947,1
G_good,2903004,0,60,3.144752,0,1,0.001799,1.453509,1
G_good,2903004,1,38,3.362896,0,1,0.0,0.981135,1
G_good,2903004,2,12,3.86803,0,1,0.001322,0.390583,1
G_good,2903004,2,49,3.96526,0,1,0.0,0.32816,0
G_good,2903004,3,7,3.054751,0,1,0.0,1.718098,1
G_good,2903004,3,12,3.353333,1,0,0.000571,1.178511,1
G_good,2903004,3,37,3.515247,0,1,0.0,0.743752,1
G_good,2903004,3,38,3.541918,0,1,0.000427,0.70794,1
G_good,2903004,4,48,3.211338,0,1,0.001683,1.288073,1
G_good,2903004,4,60,2.995902,0,1,0.0,1.912127,1
G_good,2903004,5,18,3.707485,1,0,0.0,0.619701,1
G_good,2903004,5,35,3.411312,0,1,7.3e-05,0.898327,1
G_good,2903004,5,53,4.13105,1,0,0.0,0.286896,0
G_good,2903004,6,33,3.84884,1,0,0.0,0.479253,1
G_good,2903004,6,35,4.092096,1,0,0.004317,0.305305,0
G_good,2903004,6,36,3.064411,0,1,0.0,1.688186,1
G_good,2903004,6,42,3.589778,1,0,0.0,0.767587,1
G_good,2903004,7,10,3.461187,0,1,0.0,0.820569,1
G_good,2903004,7,37,3.438942,0,1,0.0,0.854438,1
G_good,2903004,7,38,3.236565,1,0,0.000215,1.458298,1
G_good,2903004,8,11,4.012681,0,1,0.0,0.301052,0
G_good,2903004,8,47,4.094121,0,1,0.00419,0.25745,0
G_good,2903004,8,50,3.023264,0,1,0.0,1.819325,1
G_good,2903004,9,32,3.344563,0,1,0.0,1.014389,1
G_good,2903004,9,39,3.558828,0,1,0.0,0.687093,1
G_good,2903004,9,52,3.490633,0,1,0.0,0.777793,1
G_good,2903004,11,28,4.174952,1,0,0.00043,0.264658,0
G_good,2903004,11,53,3.048708,1,0,0.002636,2.042114,1
G_good,2903004,12,33,3.830442,1,0,0.000897,0.494667,1
G_good,2903004,12,37,3.272103,0,1,0.0,1.157234,1
G_good,2903004,13,20,3.677816,0,1,0.00011,0.553304,1
G_good,2903004,13,54,4.03715,1,0,0.0,0.340306,0
G_good,2903004,14,44,3.33874,1,0,0.0,1.211583,1
G_good,2903004,14,45,3.051333,0,1,0.001346,1.724159,1
G_good,2903004,15,20,3.281475,0,1,0.000739,1.136002,1
G_good,2903004,15,40,3.979094,1,0,0.000966,0.377463,1
G_good,2903004,15,63,2.898791,1,0,0.0,2.696178,1
G_good,2903004,16,51,3.103054,1,0,0.000233,1.858894,1
G_good,2903004,16,55,3.528302,0,1,0.001172,0.724606,1
G_good,2903004,17,19,3.750277,0,1,0.000365,0.484758,1
G_good,2903004,17,23,3.082395,1,0,0.0,1.930945,1
G_good,2903004,17,28,4.186868,0,1,0.003867,0.21764,0
G_good,2903004,17,30,3.303808,1,0,0.000595,1.289494,1
G_good,2903004,18,19,3.143251,0,1,0.0,1.462735,1
G_good,2903004,18,22,3.388869,1,0,0.0,1.106037,1
G_good,2903004,18,35,3.71635,0,1,0.0,0.515979,1
G_good,2903004,18,36,3.932092,0,1,0.0,0.348559,0
G_good,2903004,18,58,3.19617,0,1,0.002143,1.322873,1
G_good,2903004,19,22,3.536148,1,0,0.001333,0.84395,1
G_good,2903004,19,30,2.987186,0,1,0.0,1.942671,1
G_good,2903004,19,58,4.019874,0,1,0.0,0.29714,0
G_good,2903004,20,55,3.858727,0,1,0.001038,0.397471,1
G_good,2903004,21,63,3.983929,0,1,0.001001,0.316574,0
G_good,2903004,22,36,3.963953,0,1,0.0,0.328941,0
G_good,2903004,22,39,2.89604,0,1,0.0,2.292823,1
G_good,2903004,22,58,3.217188,0,1,0.004378,1.267594,1
G_good,2903004,23,28,3.684186,0,1,0.003018,0.543761,1
G_good,2903004,23,47,3.329311,1,0,0.000432,1.231468,1
G_good,2903004,24,40,3.134977,1,0,0.001088,1.751075,1
G_good,2903004,24,43,3.375203,0,1,0.0,0.959424,1
G_good,2903004,25,27,2.953443,0,1,0.0,2.065586,1
G_good,2903004,25,42,3.697889,0,1,0.002476,0.530955,1
G_good,2903004,25,48,3.287148,1,0,0.0,1.330735,1
G_good,2903004,25,61,3.88454,0,1,0.001701,0.378745,1
G_good,2903004,26,48,3.143027,0,1,0.0,1.46333,1
G_good,2903004,26,61,3.135916,1,0,0.003365,1.740147,1
G_good,2903004,27,29,3.906044,1,0,0.0,0.431912,1
G_good,2903004,27,48,2.886181,1,0,0.0,2.758707,1
G_good,2903004,27,60,3.791842,0,1,0.001211,0.448713,1
G_good,2903004,30,46,3.49607,1,0,0.001204,0.907979,1
G_good,2903004,32,56,3.194596,1,0,0.001203,1.570827,1
G_good,2903004,32,62,3.670894,1,0,0.001899,0.65982,1
G_good,2903004,33,40,3.994262,0,1,0.001044,0.310655,0
