L,reservoir_id,alpha_kernel,alpha_tail_effective,reservoir_kind,sector,observable_kind,observable_status,affinity_mode,affinity_split,activity_mode,activity_bias,rho_left,rho_right,n_state,pi_resid,phi_resid,phi_gauge,coboundary_resid,a_mean,corrector_2hphi,two_C_explicit,two_C_residual,C_status,lambda_tilt_second,lambda_tilt_rel_spread,G_R,G_rel_spread,S_R,J0,FDT_residual_R2,status,verdict,density_delta,activity_A
6,tail_alpha_0.5_left_transport_current_reversible_signed,0.5,0.5,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,reversible_side,0.05,0.5,0.5,64,1.301806863317168e-16,1.5784631170214392e-15,3.0531133177191805e-16,0.7071067811865476,4.14916848665431,2.254807234573692,NA,-4.509614199180087,C_from_tilted_residual,1.894361522047916,2.1379687256576496e-06,0.9471808527222958,7.179684158507306e-07,1.999999806376285,-2.6645352591003757e-15,-1.8339667562372597e-07,ok,ROW_VALID,0.0,0.05
7,tail_alpha_0.5_left_transport_current_reversible_signed,0.5,0.5,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,reversible_side,0.05,0.5,0.5,128,7.285489932531759e-17,1.0891192457551144e-15,3.0531133177191805e-16,0.7071067811865476,4.537945295730456,2.480614821987034,NA,-4.961229348896515,C_from_tilted_residual,2.057330768820975,2.1512871084605855e-06,1.028665481684199,7.139714353261457e-07,1.9999998108739663,-3.3306690738754696e-16,-1.9454742261615365e-07,ok,ROW_VALID,0.0,0.05
4,tail_alpha_1_left_transport_current_reversible_signed,1.0,1.0,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,reversible_side,0.05,0.5,0.5,16,4.528098899343682e-17,4.025754647518722e-16,2.220446049250313e-16,0.7071067811865476,1.4709497759145091,0.8830776430049103,NA,-1.7661552057525016,C_from_tilted_residual,0.5878722131669178,2.0401933072482306e-06,0.29393612010494286,5.475694304672534e-07,1.9999999079971258,1.1102230246251565e-16,-2.704296786504301e-08,ok,ROW_VALID,0.0,0.05
5,tail_alpha_1_left_transport_current_reversible_signed,1.0,1.0,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,reversible_side,0.05,0.5,0.5,32,7.591834352419621e-17,6.062008499261916e-16,3.608224830031759e-16,0.7071067811865475,1.5791411832167213,0.9737302750825465,NA,-1.947460467306729,C_from_tilted_residual,0.6054109909925387,2.058604902969329e-06,0.30270550591257606,5.13820947481117e-07,1.999999931178611,5.551115123125783e-16,-2.0832613412125056e-08,ok,ROW_VALID,0.0,0.05
6,tail_alpha_1_left_transport_current_reversible_signed,1.0,1.0,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,reversible_side,0.05,0.5,0.5,64,6.498623448955903e-17,8.096272445411358e-16,5.551115123125783e-17,0.7071067811865476,1.6677442211606588,1.049943417512099,NA,-2.0998867496837628,C_from_tilted_residual,0.6178008889889952,2.0728596779094066e-06,0.30890045207689343,4.880463794477077e-07,1.9999999509071886,2.220446049250313e-16,-1.5164791644650677e-08,ok,ROW_VALID,0.0,0.05
7,tail_alpha_1_left_transport_current_reversible_signed,1.0,1.0,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,reversible_side,0.05,0.5,0.5,128,1.4234422657008464e-16,2.424429198821923e-15,4.718447854656915e-16,0.7071067811865476,1.7427524417367193,1.1157100718451072,NA,-2.23142005649538,C_from_tilted_residual,0.6270424570864463,2.084753233294787e-06,0.31352123381355734,4.6760183322669975e-07,1.9999999663797305,-2.1649348980190553e-15,-1.0540668338165915e-08,ok,ROW_VALID,0.0,0.05
4,tail_alpha_0.5_left_transport_current_reversible_signed,0.5,0.5,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,reversible_side,-0.05,0.5,0.5,16,1.1571581006927138e-16,9.2568069606638e-16,1.942890293094024e-16,0.7071067811865476,3.290919183011282,1.7781042945195444,NA,-3.5562083747598114,C_from_tilted_residual,1.5128151027710146,2.1239228784159363e-06,0.7564076259907515,7.20821144658121e-07,1.9999998027379904,-1.4432899320127035e-15,-1.4921048840932372e-07,ok,ROW_VALID,0.0,-0.05
5,tail_alpha_0.5_left_transport_current_reversible_signed,0.5,0.5,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,reversible_side,-0.05,0.5,0.5,32,6.958731333504269e-17,4.904112131753619e-16,1.3877787807814457e-16,0.7071067811865475,3.765516829133997,2.0555803713939893,NA,-4.111160498073757,C_from_tilted_residual,1.709936702454229,2.147612562837156e-06,0.8549684321989548,7.134614152024241e-07,1.9999998105851928,5.551115123125783e-16,-1.6194368068767062e-07,ok,ROW_VALID,0.0,-0.05
6,tail_alpha_0.5_left_transport_current_reversible_signed,0.5,0.5,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,reversible_side,-0.05,0.5,0.5,64,1.1267109472712637e-16,1.3534314122893541e-15,5.551115123125783e-17,0.7071067811865476,4.1950367417819585,2.3080947237005693,NA,-4.616189174743925,C_from_tilted_residual,1.8869422907386024,2.1652898894243583e-06,0.9434712317014649,7.080048235342469e-07,1.9999998169903634,-2.220446049250313e-15,-1.7266432728035852e-07,ok,ROW_VALID,0.0,-0.05
7,tail_alpha_0.5_left_transport_current_reversible_signed,0.5,0.5,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,reversible_side,-0.05,0.5,0.5,128,8.120151635761296e-17,8.589096970120665e-16,4.163336342344337e-16,0.7071067811865476,4.590261577572036,2.541355921756388,NA,-5.082711546552243,C_from_tilted_residual,2.048905952776181,2.1798089304294727e-06,1.024453068234854,7.037721325989213e-07,1.9999998206911251,-3.3306690738754696e-16,-1.8369352705605024e-07,ok,ROW_VALID,0.0,-0.05
4,tail_alpha_1_left_transport_current_reversible_signed,1.0,1.0,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,reversible_side,-0.05,0.5,0.5,16,9.657582532843507e-17,8.309886771551362e-16,1.942890293094024e-16,0.7071067811865476,1.4980346148070278,0.9106555900360681,NA,-1.8213110997372284,C_from_tilted_residual,0.5873791051058674,2.049201950383638e-06,0.2936895641737547,5.290109441530287e-07,1.9999999208632353,-6.661338147750939e-16,-2.3241641944338198e-08,ok,ROW_VALID,0.0,-0.05
5,tail_alpha_1_left_transport_current_reversible_signed,1.0,1.0,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,reversible_side,-0.05,0.5,0.5,32,5.475860362403816e-17,4.954511161298415e-16,8.326672684688674e-17,0.7071067811865475,1.6112264749200942,1.00648845123592,NA,-2.0129768199513647,C_from_tilted_residual,0.6047381062046497,2.0682132674702213e-06,0.3023690616646313,4.943224305674177e-07,1.999999943365195,-5.551115123125783e-17,-1.7124612838870235e-08,ok,ROW_VALID,0.0,-0.05
6,tail_alpha_1_left_transport_current_reversible_signed,1.0,1.0,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,reversible_side,-0.05,0.5,0.5,64,8.80071264374478e-17,1.1340820232209273e-15,1.1102230246251565e-16,0.7071067811865476,1.703996566162966,1.0870243617910536,NA,-2.1740486379855324,C_from_tilted_residual,0.6169722899684871,2.0810599389631756e-06,0.30848615031181525,4.680190971375187e-07,1.999999965459897,7.216449660063518e-16,-1.0655143434235015e-08,ok,ROW_VALID,0.0,-0.05
7,tail_alpha_1_left_transport_current_reversible_signed,1.0,1.0,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,reversible_side,-0.05,0.5,0.5,128,1.3758848705315384e-16,2.6704894596327003e-15,2.7755575615628914e-17,0.7071067811865476,1.7825765519718717,1.1564976737566681,NA,-2.3129952595114034,C_from_tilted_residual,0.6260789662171362,2.0918077890221912e-06,0.3130394857784269,4.4726840944229594e-07,1.9999999829423514,2.3869795029440866e-15,-5.339717557006907e-09,ok,ROW_VALID,0.0,-0.05
4,tail_alpha_0.5_left_transport_current_reversible_signed,0.5,0.5,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,reversible_side,0.1,0.5,0.5,16,2.8664854322758834e-17,3.94904492438805e-16,2.7755575615628914e-16,0.7071067811865476,3.245169805314907,1.72484041209999,NA,-3.4496806122724184,C_from_tilted_residual,1.5203296051424786,2.0870220867485564e-06,0.7601648826384255,7.341732136668842e-07,1.9999997893425807,0.0,-1.601343724288995e-07,ok,ROW_VALID,0.0,0.1
5,tail_alpha_0.5_left_transport_current_reversible_signed,0.5,0.5,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,reversible_side,0.1,0.5,0.5,32,4.5566265734630614e-17,5.215035395958698e-16,2.220446049250313e-16,0.7071067811865475,3.7084534511586202,1.989189422560262,NA,-3.97837860342654,C_from_tilted_residual,1.7192642702923422,2.1083718982207757e-06,0.8596322228017428,7.276454606138109e-07,1.99999979606262,0.0,-1.7531114337998588e-07,ok,ROW_VALID,0.0,0.1
6,tail_alpha_0.5_left_transport_current_reversible_signed,0.5,0.5,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,reversible_side,0.1,0.5,0.5,64,7.426255958218327e-17,1.0664455412715915e-15,3.3306690738754696e-16,0.7071067811865476,4.127683205126777,2.2297800977339364,NA,-4.4595599265717905,C_from_tilted_residual,1.897903376288923,2.1246216476796074e-06,0.948951782304841,7.227183082095739e-07,1.9999998015486535,-8.881784197001252e-16,-1.8832075898700396e-07,ok,ROW_VALID,0.0,0.1
7,tail_alpha_0.5_left_transport_current_reversible_signed,0.5,0.5,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,reversible_side,0.1,0.5,0.5,128,9.300431548873814e-17,1.4703204486540115e-15,0.0,0.7071067811865476,4.51340825904512,2.4520458872333695,NA,-4.904091480578927,C_from_tilted_residual,2.061362665699562,2.1375700538357917e-06,1.0306814328728153,7.188450722412974e-07,1.9999998059089237,1.5543122344752192e-15,-2.0004606859913565e-07,ok,ROW_VALID,0.0,0.1
4,tail_alpha_1_left_transport_current_reversible_signed,1.0,1.0,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,reversible_side,0.1,0.5,0.5,16,2.763125803709437e-17,5.289057802881776e-16,2.7755575615628914e-17,0.7071067811865476,1.4579419383165637,0.8698274058097877,NA,-1.7396547315433386,C_from_tilted_residual,0.5881146125830128,2.0360526042514285e-06,0.294057320818919,5.566828457862217e-07,1.999999901193328,1.1102230246251565e-16,-2.905482521242675e-08,ok,ROW_VALID,0.0,0.1
5,tail_alpha_1_left_transport_current_reversible_signed,1.0,1.0,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,reversible_side,0.1,0.5,0.5,32,8.756620219415083e-17,8.308727872337648e-16,1.6653345369377348e-16,0.7071067811865475,1.563722291871611,0.9579790685518184,NA,-1.915958053886919,C_from_tilted_residual,0.6057433065365103,2.05372557845776e-06,0.30287166450427283,5.234335098785015e-07,1.9999999258034409,-6.106226635438361e-16,-2.247203534366804e-08,ok,ROW_VALID,0.0,0.1
6,tail_alpha_1_left_transport_current_reversible_signed,1.0,1.0,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,reversible_side,0.1,0.5,0.5,64,8.019678346034075e-17,1.0238925193119085e-15,3.3306690738754696e-16,0.7071067811865476,1.650315964403895,1.0321045492964898,NA,-2.064209013290969,C_from_tilted_residual,0.6182115004094157,2.068645442750392e-06,0.30910575885970126,4.979470503281061e-07,1.999999943999792,7.216449660063518e-16,-1.7309986777291897e-08,ok,ROW_VALID,0.0,0.1
7,tail_alpha_1_left_transport_current_reversible_signed,1.0,1.0,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,reversible_side,0.1,0.5,0.5,128,7.060827602375752e-17,1.2464576663223655e-15,2.498001805406602e-16,0.7071067811865476,1.7236018940544258,1.0960808104962934,NA,-2.192161534146398,C_from_tilted_residual,0.6275211704043215,2.0811300208441894e-06,0.3137605917375219,4.776744052233489e-07,1.9999999583417336,2.220446049250313e-16,-1.3070722282293445e-08,ok,ROW_VALID,0.0,0.1
4,tail_alpha_0.5_left_transport_current_reversible_signed,0.5,0.5,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,reversible_side,-0.1,0.5,0.5,16,3.679006635831987e-17,3.4017651871760984e-16,1.6653345369377348e-16,0.7071067811865476,3.307578057083509,1.7974434799929435,NA,-3.594886745389629,C_from_tilted_residual,1.5101347916868235,2.137252870304784e-06,0.7550674687675119,7.160510167045245e-07,1.9999998068408371,2.220446049250313e-16,-1.4584820018370692e-07,ok,ROW_VALID,0.0,-0.1
5,tail_alpha_0.5_left_transport_current_reversible_signed,0.5,0.5,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,reversible_side,-0.1,0.5,0.5,32,4.526362977282511e-17,3.6282886015247565e-16,1.6653345369377348e-16,0.7071067811865475,3.7862322133124,2.0796029244775838,NA,-4.159205602711265,C_from_tilted_residual,1.7066295350787186,2.1610482967773124e-06,0.8533148459201501,7.084237868121322e-07,1.9999998162910417,-1.1102230246251565e-16,-1.5676158149346975e-07,ok,ROW_VALID,0.0,-0.1
6,tail_alpha_0.5_left_transport_current_reversible_signed,0.5,0.5,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,reversible_side,-0.1,0.5,0.5,64,1.2728492807792386e-16,1.8470753938097277e-15,2.7755575615628914e-17,0.7071067811865476,4.219436960022242,2.336365104970487,NA,-4.6727299356898975,C_from_tilted_residual,1.8830721293028319,2.179215796684121e-06,0.9415361480963336,7.028001510797737e-07,1.9999998227472884,3.1086244689504383e-15,-1.6688983528467816e-07,ok,ROW_VALID,0.0,-0.1
7,tail_alpha_0.5_left_transport_current_reversible_signed,0.5,0.5,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,reversible_side,-0.1,0.5,0.5,128,1.2754682814456772e-16,1.9693503322546744e-15,3.3306690738754696e-16,0.7071067811865476,4.6180611493195025,2.5735400981582686,NA,-5.147079896183478,C_from_tilted_residual,2.044521351294293,2.19336968081357e-06,1.022260763581917,6.984555689694589e-07,1.9999998279601963,3.219646771412954e-15,-1.7586954115245135e-07,ok,ROW_VALID,0.0,-0.1
4,tail_alpha_1_left_transport_current_reversible_signed,1.0,1.0,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,reversible_side,-0.1,0.5,0.5,16,7.407847508013158e-17,5.044914688582685e-16,2.498001805406602e-16,0.7071067811865476,1.51212065009392,0.9249920476392932,NA,-1.8499840145683073,C_from_tilted_residual,0.5871286831649059,2.0532792158859808e-06,0.29356435207014697,5.19575232998687e-07,1.9999999285492671,-3.3306690738754696e-16,-2.097538809309185e-08,ok,ROW_VALID,0.0,-0.1
5,tail_alpha_1_left_transport_current_reversible_signed,1.0,1.0,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,reversible_side,-0.1,0.5,0.5,32,1.2039551946759406e-16,1.072059108153667e-15,3.3306690738754696e-16,0.7071067811865475,1.6279046264263182,1.0235067511455707,NA,-2.04701341869088,C_from_tilted_residual,0.6043979588810089,2.0709900329930907e-06,0.3021989864400776,4.844463139585069e-07,1.9999999536757338,-9.43689570931383e-16,-1.3999146286636233e-08,ok,ROW_VALID,0.0,-0.1
6,tail_alpha_1_left_transport_current_reversible_signed,1.0,1.0,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,reversible_side,-0.1,0.5,0.5,64,8.212346326645566e-17,9.536499325559447e-16,5.828670879282072e-16,0.7071067811865476,1.722834725610739,1.1062799759657946,NA,-2.212559866478718,C_from_tilted_residual,0.6165548350978156,2.085612970947666e-06,0.3082774218761464,4.579028278498772e-07,1.9999999719263348,2.7755575615628914e-16,-8.654477134939498e-09,ok,ROW_VALID,0.0,-0.1
7,tail_alpha_1_left_transport_current_reversible_signed,1.0,1.0,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,reversible_side,-0.1,0.5,0.5,128,7.407822112747049e-17,1.1788936204432634e-15,1.1102230246251565e-16,0.7071067811865476,1.8032662059293219,1.1776714811800295,NA,-2.3553428753687253,C_from_tilted_residual,0.6255948117406263,2.0974285285304406e-06,0.3127974079406515,4.370174420158959e-07,1.999999986762433,3.885780586188048e-16,-4.1406766904117376e-09,ok,ROW_VALID,0.0,-0.1
4,tail_alpha_0.5_left_transport_current_reversible_signed,0.5,0.5,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,reversible_side,0.0,0.49,0.51,16,5.697900611834063e-17,3.1702310522213485e-16,8.326672684688674e-17,0.7071067811865476,3.274870653868569,1.7595069029854584,NA,-3.518951982812754,C_from_tilted_residual,1.5154255740412736,2.1110713797392984e-06,0.757697461108342,7.254741063735887e-07,2.000040453909592,0.06061635965633527,3.0651824589611465e-05,ok,ROW_VALID,0.02,0.0
5,tail_alpha_0.5_left_transport_current_reversible_signed,0.5,0.5,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,reversible_side,0.0,0.49,0.51,32,8.588747480405483e-17,6.688299646819979e-16,5.551115123125783e-17,0.7071067811865475,3.7455255181351856,2.03243683414855,NA,-4.064794296155979,C_from_tilted_residual,1.7131680561277562,2.1341961291245986e-06,0.8565643293129477,7.18392738825769e-07,2.000045994796319,0.06852586559055496,3.9397501860882755e-05,ok,ROW_VALID,0.02,0.0
6,tail_alpha_0.5_left_transport_current_reversible_signed,0.5,0.5,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,reversible_side,0.0,0.49,0.51,64,7.813050879208546e-17,1.0419862139868126e-15,2.7755575615628914e-16,0.7071067811865476,4.171460769423411,2.2808240220977654,NA,-4.561552549034584,C_from_tilted_residual,1.8907322424865924,2.1508405121774553e-06,0.9453424041385938,7.131124759638262e-07,2.000050176749924,0.07562825446550248,4.7434209404784156e-05,ok,ROW_VALID,0.02,0.0
7,tail_alpha_0.5_left_transport_current_reversible_signed,0.5,0.5,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,reversible_side,0.0,0.49,0.51,128,8.864721296948867e-17,1.452051449252781e-15,1.942890293094024e-16,0.7071067811865476,4.563376867103681,2.5102804137158374,NA,-5.020450395739702,C_from_tilted_residual,2.053206885079817,2.165012279626732e-06,1.0265760031540783,7.089990890778616e-07,2.000053458069828,0.08212707428781585,5.4878771660327175e-05,ok,ROW_VALID,0.02,0.0
4,tail_alpha_1_left_transport_current_reversible_signed,1.0,1.0,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,reversible_side,0.0,0.49,0.51,16,8.788125307935192e-17,4.2850883380066587e-16,1.1102230246251565e-16,0.7071067811865476,1.4841888922714517,0.8966143804583511,NA,-1.7931725935734548,C_from_tilted_residual,0.5876306791563479,2.0446178132640574e-06,0.29380133042241074,5.384721915876005e-07,2.0000953648218207,0.023505076641482603,2.8018311526434303e-05,ok,ROW_VALID,0.02,0.0
5,tail_alpha_1_left_transport_current_reversible_signed,1.0,1.0,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,reversible_side,0.0,0.49,0.51,32,7.395575185485122e-17,6.35213883636999e-16,5.551115123125783e-17,0.7071067811865475,1.5948200490598796,0.989806036673085,NA,-1.9795457093161424,C_from_tilted_residual,0.6050803764168222,2.062342521122246e-06,0.3025236272362064,5.042699085600374e-07,2.0001094854795705,0.02420303085711195,3.3121944409408854e-05,ok,ROW_VALID,0.02,0.0
6,tail_alpha_1_left_transport_current_reversible_signed,1.0,1.0,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,reversible_side,0.0,0.49,0.51,64,7.731721850641698e-17,6.369601357608882e-16,0.0,0.7071067811865476,1.6854550962701254,1.0681365606719482,NA,-2.136198708763099,C_from_tilted_residual,0.6173929481789742,2.076074308812479e-06,0.30867789866659834,4.782447201291859e-07,2.0001203547320294,0.024695505774984194,3.7150845777489394e-05,ok,ROW_VALID,0.02,0.0
7,tail_alpha_1_left_transport_current_reversible_signed,1.0,1.0,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,reversible_side,0.0,0.49,0.51,128,8.402376018556009e-17,1.1675771530904697e-15,8.326672684688674e-17,0.7071067811865476,1.7622042997651959,1.135717819988455,NA,-2.271354698393515,C_from_tilted_residual,0.6265674213601358,2.0885575470124095e-06,0.3132635012421281,4.5765816407015465e-07,2.0001290251680115,0.025062461212448595,4.04188758795776e-05,ok,ROW_VALID,0.02,0.0
4,tail_alpha_0.5_left_transport_current_reversible_signed,0.5,0.5,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,reversible_side,0.05,0.49,0.51,16,4.715528851668422e-17,4.870105600309107e-16,1.6653345369377348e-16,0.7071067811865476,3.2596306397879586,1.7417578019674134,NA,-3.483458524243721,C_from_tilted_residual,1.5179299175116512,2.099262138031913e-06,0.7589508205240181,7.299225873489426e-07,2.000037257306864,0.0607165831178732,2.8276463615029e-05,ok,ROW_VALID,0.02,0.05
5,tail_alpha_0.5_left_transport_current_reversible_signed,0.5,0.5,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,reversible_side,0.05,0.49,0.51,32,9.173182921790999e-17,7.4798182783228995e-16,5.551115123125783e-17,0.7071067811865475,3.72651675743995,2.010313700352996,NA,-4.02055371502375,C_from_tilted_residual,1.716276742769196,2.120593666968201e-06,0.8581200960021351,7.231184715037658e-07,2.000042593997153,0.06865027271201862,3.655076492581344e-05,ok,ROW_VALID,0.02,0.05
